2016-10-10 14:57:10 startup archives unpack
2016-10-10 14:57:10 install linux-image-3.13.0-98-generic:amd64 <none> 3.13.0-98.145
2016-10-10 14:57:10 status half-installed linux-image-3.13.0-98-generic:amd64 3.13.0-98.145
2016-10-10 14:57:13 status unpacked linux-image-3.13.0-98-generic:amd64 3.13.0-98.145
2016-10-10 14:57:13 status unpacked linux-image-3.13.0-98-generic:amd64 3.13.0-98.145
2016-10-10 14:57:13 upgrade linux-cloud-tools-common:all 3.13.0-96.143 3.13.0-98.145
2016-10-10 14:57:13 status half-configured linux-cloud-tools-common:all 3.13.0-96.143
2016-10-10 14:57:13 status unpacked linux-cloud-tools-common:all 3.13.0-96.143
2016-10-10 14:57:13 status half-installed linux-cloud-tools-common:all 3.13.0-96.143
2016-10-10 14:57:13 status triggers-pending man-db:amd64 2.6.7.1-1ubuntu1
2016-10-10 14:57:13 status triggers-pending ureadahead:amd64 0.100.0-16
2016-10-10 14:57:13 status half-installed linux-cloud-tools-common:all 3.13.0-96.143
2016-10-10 14:57:13 status half-installed linux-cloud-tools-common:all 3.13.0-96.143
2016-10-10 14:57:13 status unpacked linux-cloud-tools-common:all 3.13.0-98.145
2016-10-10 14:57:13 status unpacked linux-cloud-tools-common:all 3.13.0-98.145
2016-10-10 14:57:13 install linux-cloud-tools-3.13.0-98:amd64 <none> 3.13.0-98.145
2016-10-10 14:57:13 status half-installed linux-cloud-tools-3.13.0-98:amd64 3.13.0-98.145
2016-10-10 14:57:13 status unpacked linux-cloud-tools-3.13.0-98:amd64 3.13.0-98.145
2016-10-10 14:57:13 status unpacked linux-cloud-tools-3.13.0-98:amd64 3.13.0-98.145
2016-10-10 14:57:13 install linux-cloud-tools-3.13.0-98-generic:amd64 <none> 3.13.0-98.145
2016-10-10 14:57:13 status half-installed linux-cloud-tools-3.13.0-98-generic:amd64 3.13.0-98.145
2016-10-10 14:57:13 status unpacked linux-cloud-tools-3.13.0-98-generic:amd64 3.13.0-98.145
2016-10-10 14:57:13 status unpacked linux-cloud-tools-3.13.0-98-generic:amd64 3.13.0-98.145
2016-10-10 14:57:13 upgrade linux-cloud-tools-generic:amd64 3.13.0.96.104 3.13.0.98.106
2016-10-10 14:57:13 status half-configured linux-cloud-tools-generic:amd64 3.13.0.96.104
2016-10-10 14:57:13 status unpacked linux-cloud-tools-generic:amd64 3.13.0.96.104
2016-10-10 14:57:13 status half-installed linux-cloud-tools-generic:amd64 3.13.0.96.104
2016-10-10 14:57:13 status half-installed linux-cloud-tools-generic:amd64 3.13.0.96.104
2016-10-10 14:57:13 status unpacked linux-cloud-tools-generic:amd64 3.13.0.98.106
2016-10-10 14:57:13 status unpacked linux-cloud-tools-generic:amd64 3.13.0.98.106
2016-10-10 14:57:13 install linux-image-extra-3.13.0-98-generic:amd64 <none> 3.13.0-98.145
2016-10-10 14:57:13 status half-installed linux-image-extra-3.13.0-98-generic:amd64 3.13.0-98.145
2016-10-10 14:57:23 status unpacked linux-image-extra-3.13.0-98-generic:amd64 3.13.0-98.145
2016-10-10 14:57:23 status unpacked linux-image-extra-3.13.0-98-generic:amd64 3.13.0-98.145
2016-10-10 14:57:23 upgrade linux-generic:amd64 3.13.0.96.104 3.13.0.98.106
2016-10-10 14:57:23 status half-configured linux-generic:amd64 3.13.0.96.104
2016-10-10 14:57:23 status unpacked linux-generic:amd64 3.13.0.96.104
2016-10-10 14:57:23 status half-installed linux-generic:amd64 3.13.0.96.104
2016-10-10 14:57:23 status half-installed linux-generic:amd64 3.13.0.96.104
