2017-04-02 17:06:36 startup archives unpack
2017-04-02 17:06:36 upgrade coreutils:amd64 8.21-1ubuntu5 8.21-1ubuntu5.4
2017-04-02 17:06:36 status half-configured coreutils:amd64 8.21-1ubuntu5
2017-04-02 17:06:36 status unpacked coreutils:amd64 8.21-1ubuntu5
2017-04-02 17:06:36 status half-installed coreutils:amd64 8.21-1ubuntu5
2017-04-02 17:06:36 status triggers-pending install-info:amd64 5.2.0.dfsg.1-2
2017-04-02 17:06:36 status triggers-pending man-db:amd64 2.6.7.1-1ubuntu1
2017-04-02 17:06:36 status half-installed coreutils:amd64 8.21-1ubuntu5
2017-04-02 17:06:36 status unpacked coreutils:amd64 8.21-1ubuntu5.4
2017-04-02 17:06:36 status unpacked coreutils:amd64 8.21-1ubuntu5.4
2017-04-02 17:06:36 trigproc install-info:amd64 5.2.0.dfsg.1-2 5.2.0.dfsg.1-2
2017-04-02 17:06:36 status half-configured install-info:amd64 5.2.0.dfsg.1-2
2017-04-02 17:06:37 status installed install-info:amd64 5.2.0.dfsg.1-2
2017-04-02 17:06:37 trigproc man-db:amd64 2.6.7.1-1ubuntu1 2.6.7.1-1ubuntu1
2017-04-02 17:06:37 status half-configured man-db:amd64 2.6.7.1-1ubuntu1
2017-04-02 17:06:37 status installed man-db:amd64 2.6.7.1-1ubuntu1
2017-04-02 17:06:37 startup packages configure
2017-04-02 17:06:37 configure coreutils:amd64 8.21-1ubuntu5.4 <none>
2017-04-02 17:06:37 status unpacked coreutils:amd64 8.21-1ubuntu5.4
2017-04-02 17:06:37 status half-configured coreutils:amd64 8.21-1ubuntu5.4
2017-04-02 17:06:37 status installed coreutils:amd64 8.21-1ubuntu5.4
2017-04-02 17:06:37 startup archives unpack
2017-04-02 17:06:37 upgrade initramfs-tools:all 0.103ubuntu4.6 0.103ubuntu4.7
2017-04-02 17:06:37 status half-configured initramfs-tools:all 0.103ubuntu4.6
2017-04-02 17:06:37 status unpacked initramfs-tools:all 0.103ubuntu4.6
2017-04-02 17:06:37 status half-installed initramfs-tools:all 0.103ubuntu4.6
2017-04-02 17:06:37 status triggers-pending man-db:amd64 2.6.7.1-1ubuntu1
2017-04-02 17:06:37 status half-installed initramfs-tools:all 0.103ubuntu4.6
2017-04-02 17:06:37 status unpacked initramfs-tools:all 0.103ubuntu4.7
2017-04-02 17:06:37 status unpacked initramfs-tools:all 0.103ubuntu4.7
2017-04-02 17:06:37 upgrade initramfs-tools-bin:amd64 0.103ubuntu4.6 0.103ubuntu4.7
2017-04-02 17:06:37 status half-configured initramfs-tools-bin:amd64 0.103ubuntu4.6
2017-04-02 17:06:37 status unpacked initramfs-tools-bin:amd64 0.103ubuntu4.6
2017-04-02 17:06:37 status half-installed initramfs-tools-bin:amd64 0.103ubuntu4.6
2017-04-02 17:06:37 status half-installed initramfs-tools-bin:amd64 0.103ubuntu4.6
2017-04-02 17:06:37 status unpacked initramfs-tools-bin:amd64 0.103ubuntu4.7
2017-04-02 17:06:37 status unpacked initramfs-tools-bin:amd64 0.103ubuntu4.7
2017-04-02 17:06:37 upgrade makedev:all 2.3.1-93ubuntu1 2.3.1-93ubuntu2~ubuntu14.04.1
2017-04-02 17:06:37 status half-configured makedev:all 2.3.1-93ubuntu1
2017-04-02 17:06:37 status unpacked makedev:all 2.3.1-93ubuntu1
2017-04-02 17:06:37 status half-installed makedev:all 2.3.1-93ubuntu1
2017-04-02 17:06:37 status half-installed makedev:all 2.3.1-93ubuntu1
2017-04-02 17:06:37 status unpacked makedev:all 2.3.1-93ubuntu2~ubuntu14.04.1
2017-04-02 17:06:37 status unpacked makedev:all 2.3.1-93ubuntu2~ubuntu14.04.1
2017-04-02 17:06:37 trigproc man-db:amd64 2.6.7.1-1ubuntu1 2.6.7.1-1ubuntu1
2017-04-02 17:06:37 status half-configured man-db:amd64 2.6.7.1-1ubuntu1
2017-04-02 17:06:37 status installed man-db:amd64 2.6.7.1-1ubuntu1
2017-04-02 17:06:38 startup packages configure
2017-04-02 17:06:38 configure initramfs-tools-bin:amd64 0.103ubuntu4.7 <none>
2017-04-02 17:06:38 status unpacked initramfs-tools-bin:amd64 0.103ubuntu4.7
2017-04-02 17:06:38 status half-configured initramfs-tools-bin:amd64 0.103ubuntu4.7
2017-04-02 17:06:38 status installed initramfs-tools-bin:amd64 0.103ubuntu4.7
2017-04-02 17:06:38 configure initramfs-tools:all 0.103ubuntu4.7 <none>
2017-04-02 17:06:38 status unpacked initramfs-tools:all 0.103ubuntu4.7
2017-04-02 17:06:38 status unpacked initramfs-tools:all 0.103ubuntu4.7
2017-04-02 17:06:38 status unpacked initramfs-tools:all 0.103ubuntu4.7
2017-04-02 17:06:38 status unpacked initramfs-tools:all 0.103ubuntu4.7
2017-04-02 17:06:38 status unpacked initramfs-tools:all 0.103ubuntu4.7
2017-04-02 17:06:38 status unpacked initramfs-tools:all 0.103ubuntu4.7
2017-04-02 17:06:38 status half-configured initramfs-tools:all 0.103ubuntu4.7
